x,y,label,path
25.137491,-10.005953,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_112583_P1_L0.png
25.474915,-8.701078,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_112583_P1_L1.png
21.521046,-4.932812,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_112583_P1_L2.png
22.51355,-5.291548,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115008_P7_L0.png
24.263954,-7.657783,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115008_P7_L1.png
32.272057,-15.91328,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115008_P7_L2.png
22.64358,-5.170503,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115010_P1_L0.png
22.85253,-5.1849937,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115010_P1_L1.png
33.048218,-16.372969,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_115010_P1_L2.png
27.289762,-21.941742,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_11639_P1_L0.png
20.560936,-6.5605674,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_11639_P1_L1.png
50.82444,-1.6680197,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_120402_P7_L0.png
20.678436,-1.6680592,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_12510_P15_L0.png
21.976646,-5.0864773,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_125379_P6_L0.png
20.15192,-8.3610325,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_127028_P2_L0.png
16.689135,-6.3632154,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_128204_P1_L0.png
21.346151,-5.861875,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_128302_P8_L0.png
19.935516,-4.011245,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_13083_P9_L0.png
21.77325,-2.9954202,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_130947_P3_L1.png
21.64127,-2.9593616,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_130947_P4_L0.png
19.003647,-6.6663456,Psoriasis_Frontal,data\skin_faces\건선\Psoriasis_Frontal\H0_133092_P4_L0.png
