x,y,label,path,cluster
-2.2583451,-33.37955,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p001.png,2
-0.70534045,-1.6869391,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p002.png,8
21.870853,-6.643137,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p003.png,2
8.050705,19.23495,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p004.png,5
20.35299,27.615036,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p005.png,4
13.445415,1.7563255,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p006.png,5
32.43168,27.861473,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p007.png,5
3.3952293,0.92798185,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p008.png,5
21.982416,26.068602,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p009.png,1
14.286917,4.2175303,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p010.png,5
21.715826,26.689825,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p011.png,1
21.399443,-6.123579,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p012.png,1
20.433992,27.550001,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p013.png,4
8.320416,5.0569496,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p014.png,5
13.251076,-8.59763,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p015.png,2
14.328247,5.7865224,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p016.png,5
14.718041,-25.494862,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p017.png,2
-1.9907261,14.36414,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p018.png,8
21.797857,27.357958,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p019.png,5
1.2107162,-0.27823922,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p020.png,8
5.0820155,10.0197115,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p021.png,5
22.787764,3.8996854,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p022.png,1
-23.786423,-31.229712,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p023.png,0
-31.30914,-32.93101,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p024.png,3
-37.605614,-33.30489,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011165_p025.png,3
-0.65823746,-30.632788,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p001.png,2
7.4452224,-16.463232,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p002.png,2
-1.7772241,-17.820568,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p003.png,2
-2.181733,-1.4633,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p004.png,8
-1.7357597,-4.945897,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p005.png,5
-0.5576483,-2.6888902,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p006.png,5
0.16620493,-17.889076,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p007.png,2
1.4468834,-17.302986,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p008.png,2
-1.7293781,-4.5736327,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p009.png,5
5.98443,-16.549227,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p010.png,8
12.598231,-10.106453,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p011.png,2
12.353503,0.14273112,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p012.png,5
37.845726,9.287458,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p013.png,1
0.582388,-1.0275348,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p014.png,5
12.572713,-10.067568,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p015.png,2
5.506046,-9.872654,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p016.png,8
11.168729,-5.751549,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p017.png,5
7.341431,-5.8711357,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p018.png,2
13.414177,-4.7728987,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p019.png,5
-15.198653,-23.953201,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p020.png,2
-31.037458,-33.51098,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p021.png,3
-34.474167,-27.89778,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011287_p022.png,3
-6.2324286,-31.41997,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p001.png,6
8.724576,6.865296,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p002.png,5
12.4587145,30.288654,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p003.png,4
17.824738,-12.481217,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p004.png,2
27.805153,-3.0633335,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p005.png,1
9.4008,27.57709,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p006.png,4
-6.3151784,15.643191,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p007.png,6
22.958298,-2.4447126,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p008.png,2
-6.1624417,15.686928,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p009.png,6
14.409158,15.179162,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p010.png,4
12.036928,29.763714,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p011.png,4
15.116491,1.8616993,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p012.png,2
-5.333655,16.56973,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p013.png,6
10.885136,22.780071,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p014.png,4
27.573622,-4.063856,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p015.png,2
14.500185,2.3799987,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p016.png,1
13.315431,-21.323715,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p017.png,8
18.82657,8.994111,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p018.png,1
33.173267,15.240648,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p019.png,1
12.395809,3.5956335,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p020.png,4
13.250465,31.054098,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p021.png,4
22.54642,14.250524,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p022.png,1
12.295431,31.163664,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p023.png,4
11.737394,22.011627,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p024.png,4
-6.653481,16.244814,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p025.png,6
23.726156,9.302217,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p026.png,6
-34.411243,-32.787785,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011294_p027.png,3
-5.000413,-30.427765,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p001.png,6
7.6202626,25.910706,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p002.png,4
28.920902,6.068391,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p003.png,1
4.337531,20.134916,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p004.png,4
-0.74246377,18.32582,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p005.png,6
2.99481,31.169346,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p006.png,4
0.23286256,-22.478193,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p007.png,2
22.52778,9.018508,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p008.png,1
33.07644,21.503109,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p009.png,5
17.09476,11.67084,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p010.png,1
14.6110115,-6.0660114,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p011.png,5
11.809644,11.804864,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p012.png,1
9.584458,29.095598,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p013.png,4
5.819473,20.19602,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p014.png,4
0.32790715,20.194555,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p015.png,4
3.1816669,30.285946,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p016.png,4
33.527485,19.280497,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p017.png,1
25.123287,7.9769287,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p018.png,1
35.821285,20.65174,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p019.png,1
4.1823907,20.721003,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p020.png,4
-0.3732936,18.69843,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p021.png,4
3.156589,-12.598565,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p022.png,8
1.4659556,17.65133,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p023.png,4
14.220644,11.491043,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p024.png,1
-0.07823497,19.378222,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p025.png,4
24.406223,11.382719,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p026.png,1
27.815382,25.903606,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p027.png,1
19.5518,4.6111784,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p028.png,1
-27.262144,-20.814425,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p029.png,0
-43.77701,-14.792111,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011301_p030.png,9
-1.4892008,-28.669071,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p001.png,2
2.0695465,29.561316,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p002.png,4
-3.2294593,30.307869,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p003.png,4
2.9432228,30.185667,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p004.png,4
5.8816586,30.802507,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p005.png,4
3.6918874,29.337086,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p006.png,4
13.56496,-22.722979,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p007.png,2
5.505485,22.932673,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p008.png,4
4.2183547,31.469398,Humanities,data\academic_data\paper_001\images\Humanities\HA_0032_0011308_p009.png,4
